voksa,9.4.1,(voice),x1 is a voice/speech sound of individual x2.
gusni,9.4.2,(illumine ‘light’),x1 [energy] is light/illumination illuminating x2 from light source x3.
viska,9.4.2,(see ‘vision’),x1 sees/views/perceives visually x2 under conditions x3.
catlu,9.4.2,(look),x1 looks at/examines/views/inspects/regards/watches/gazes at x2.
jvinu,9.4.2,(view),x1 is the view/scene/panorama/sight/prospect of x2 (object/location) from point-of-view x3.
manku,9.4.2,(dark),x1 is dark/lacking in illumination.
ctino,9.4.2,(shadow ‘shade’),"x1 is a shadow/the shade of object x2, made by light/energy source x3."
skari,9.4.2,(color),x1 is/appears to be of color/hue x2 as perceived/seen by x3 under conditions x4.
xekri,9.4.2,(black),x1 is black/extremely dark-colored [color adjective].
blabi,9.4.2,(white),x1 is white/very-light colored [color adjective].
grusi,9.4.2,(gray),x1 is gray [color adjective].
xunre,9.4.2,(red),x1 is red/crimson/ruddy [color adjective].
pelxu,9.4.2,(yellow),x1 is yellow/golden [color adjective].
crino,9.4.2,(green),x1 is green/verdant [color adjective].
blanu,9.4.2,(blue),x1 is blue [color adjective].
bunre,9.4.2,(brown),x1 is brown/tan [color adjective].
cicna,9.4.2,(cyan),
narju,9.4.2,(orange),x1 is orange [color adjective].
nukni,9.4.2,(magenta ‘fuchsin’),x1 is magenta/fuchsia/purplish-red [color adjective].
zirpu,9.4.2,(purple),x1 is purple/violet [color adjective].
panci,9.4.3,(odor ‘fragrance’),x1 is an odor/fragrance/scent/smell emitted by x2 and detected by observer/sensor x3.
sumne,9.4.3,(smell),x1 (experiencer) smells/scents (transitive verb) x2; x2 smells/has odor/scent to observer x1.
vrusi,9.4.4,(taste ‘flavor’),x1 (ka) is a taste/flavor of/emitted by x2; x2 tastes of/like x1.
titla,9.4.4,(sweet),x1 is sweet/sugary/saccharine to observer x2.
kurki,9.4.4,(bitter ‘acrid’),x1 is bitter/acrid/sharply disagreeable to observer/sense x2.
slari,9.4.4,(sour),x1 is sour/tart to observer x2.
cortu,9.4.5,(pain ‘hurt’),x1 hurts/feels pain/hurt at locus x2.
xagji,9.4.5,(hunger),x1 hungers for x2; x1 needs/wants food/fuel x2.
taske,9.4.5,(thirst),x1 thirsts for x2; x1 needs/wants drink/fluid/lubrication x2.
tatpi,9.4.5,(tired),x1 is tired/fatigued by effort/situation x2 (event); x1 needs/wants rest.
cinmo,10.1,(emotion),x1 feels emotion x2 (ka) about x3.
badri,10.1,(sad),x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction).
ckeji,10.1,(ashamed),x1 feels ashamed/mortified/humiliated under conditions x2 before community/audience x3.
jgira,10.1,(pride),x1 (person) feels/has pride in/about x2 (abstraction).
kecti,10.1,(pity),x1 (person) pities/feels sorry for x2 (person) about x3 (abstraction).
kufra,10.1,(comfort),x1 feels comfort/is comfortable with conditions/environmental property(ies) x2.
manci,10.1,(wonder),x1 feels wonder/awe/marvels about x2.
prami,10.1,(love),x1 loves/feels strong affectionate devotion towards x2 (object/state).
steba,10.1,(frustration),x1 feels frustration about x2 (abstraction).
zungi,10.1,(guilt),x1 feels guilt/remorse about x2 (abstraction).
cinri,10.1,(interesting ‘interests’),x1 (abstraction) interests/is interesting to x2; x2 is interested in x1.
burna,10.1,(embarrassed),x1 is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions x2 (abstraction).
cumla,10.1,(humble ‘humility’),x1 is humble/modest about x2 (abstraction); x1 displays humility about x2.
kucli,10.1,(curious),x1 is curious/wonders about/is interested in/[inquisitive about] x2 (object/abstract).
xebni,10.1,(hate),x1 hates/despises x2 (object/abstraction); x1 is full of hate for x2; x2 is odious to x1.
xalni,10.1,(panic),x1 (person) is panicked by crisis x2 (event/state).
xanka,10.1,(nervous ‘anxious’),x1 is nervous/anxious about x2 (abstraction) under conditions x3.
dunku,10.1,(anguish),x1 is anguished/distressed/emotionally wrought/stressed by x2.
dirba,10.1,(dear),x1 is dear/precious/darling to x2; x1 is emotionally valued by x2.
gleki,10.1,(happy ‘gay’),x1 is happy/merry/glad/gleeful about x2 (event/state).
jilra,10.1,(jealous),x1 (person) is jealous of/envies x2 (person) about/for x3 (property - ka).
junri,10.1,(serious),x1 (person) is serious/earnest/has gravity about x2 (event/state/activity).
klaku,10.1,(weep),x1 weeps/cries tears x2 about/for reason x3 (event/state).
terpa,10.1,(fear ‘terror’),x1 fears x2; x1 is afraid/scared/frightened by/fearful of x2 (event/tu'a object).
xenru,10.1,(regret ‘rue’),x1 regrets/rues (abstraction) x2; x1 is regretful/rueful/sorry/[remorseful] about x2.
fengu,10.1,(angry),x1 is angry/mad at x2 for x3 (action/state/property).
pluka,10.1,(pleasant),x1 (event/state) seems pleasant to/pleases x2 under conditions x3.
raktu,10.1,(trouble),x1 (object/person/event/situation) troubles/disturbs x2 (person) causing problem(s) x3.
spaji,10.1,(surprise),x1 (event/action abstract) surprises/startles/is unexpected [and generally sudden] to x2.
jenca,10.1,(shock),x1 (event) shocks/stuns x2.
zdile,10.1,(amusing ‘amused’),x1 (abstract) is amusing/entertaining to x2 in property/aspect x3; x3 is what amuses x2 about x1.
rigni,10.1,(disgusting ‘repugnant’),x1 is repugnant to/causes disgust to x2 under conditions x3.
xajmi,10.1,(funny ‘comic’),x1 is funny/comical to x2 in property/aspect x3 (nu/ka); x3 is what is funny about x1 to x2.
betri,10.1,(tragedy ‘tragic’),x1 is a tragedy/disaster/tragic for x2.
fanza,10.1,(annoy),x1 (event) annoys/irritates/bothers/distracts x2.
zanru,10.2,(approve),x1 approves of/gives favor to plan/action x2 (object/event).
xalbo,10.2,(levity ‘frivolous’),x1 uses levity/is non-serious/frivolous about x2 (abstraction).
vajni,10.2,(important ‘significant’),x1 (object/event) is important/significant to x2 (person/event) in aspect/for reason x3 (nu/ka).
trina,10.2,(attract),x1 attracts/appeals to/lures x2 (person/event) with property/quality x3 (ka).
talsa,10.2,(challenge),x1 (person) challenges x2 at/in property x3.
surla,10.2,(relax),x1 relaxes/rests/is at ease in/by doing/being x2 (activity).
senva,10.2,(dream ‘reverie’),x1 dreams about/that x2 (fact/idea/event/state); x2 is a dream/reverie of x1.
ranxi,10.2,(irony),x1 is ironic(al)/contrary to expectation x2 in state/property/aspect x3.
pendo,10.2,(friend),x1 is/acts as a friend of/to x2 (experiencer); x2 befriends x1.
pacna,10.2,(hope),"x1 hopes/wishes for/desires x2 (event), expected likelihood x3 (0-1); x1 hopes that x2 happens."
nelci,10.2,(fond ‘likes’),x1 is fond of/likes/has a taste for x2 (object/state).
jundi,10.2,(attentive ‘attend’),x1 is attentive towards/attends/tends/pays attention to object/affair x2.
kurji,10.2,(take care of ‘care’),x1 takes-care-of/looks after/attends to/provides for/is caretaker for x2 (object/event/person).
djica,10.2,(desire),x1 desires/wants/wishes x2 (event/state) for purpose x3.
dapma,10.2,(curse ‘damn’),x1 curses/damns/condemns x2 to fate (event) x3.
ckire,10.2,(grateful),x1 is grateful/thankful to/appreciative of x2 for x3 (event/property).
ckasu,10.2,(ridicule ‘scoff’),x1 ridicules/mocks/scoffs at x2 about x3 (property/event) by doing activity x4 (event).
cfipu,10.2,(confusing),x1 (event/state) confuses/baffles x2 [observer] due to [confusing] property x3 (ka).
cizra,10.2,(strange ‘bizarre’),x1 is strange/weird/deviant/bizarre/odd to x2 in property x3 (ka).
cmila,10.2,(laugh ‘smile’),x1 laughs (emotional expression).
xrani,10.3,(injure ‘hurt’),x1 (event) injures/harms/damages victim x2 in property x3 (ka) resulting in injury x4 (state).
zabna,10.3,(favorable),x1 is favorable/great/superb/fabulous/dandy/outstanding/swell/admirable/nice/commendable/delightful/desirable/enjoyable/laudable/likable/lovable/wonderful/praiseworthy/high-quality/cool in property x2 by standard x3; x1 rocks in aspect x2 according to x3
xarnu,10.3,(stubborn),x1 is stubborn/willfully opposing/resisting x2 about x3 (event/state).
xendo,10.3,(kind),x1 (person) is kind to x2 in actions/behavior x3.
xamgu,10.3,(good),x1 (object/event) is good/beneficial/nice/[acceptable] for x2 by standard x3.
xlali,10.3,(bad ‘mal-’),x1 is bad for x2 by standard x3; x1 is poor/unacceptable to x2.
vifne,10.3,(fresh),(adjective:) x1 is fresh/unspoiled.
virnu,10.3,"(brave ‘valiant, virtue’)",x1 is brave/valiant/courageous in activity x2 (event) by standard x3.
stati,10.3,(talent),x1 has a talent/aptitude/innate skill for doing/being x2.
stace,10.3,(honest),x1 is honest/open/truthfully revealing to/candid/frank with x2 about matter/fact x3.
snura,10.3,(secure),x1 is secure/safe from threat x2 (event).
sinma,10.3,(esteem),x1 esteems/respects/venerates/highly regards x2 [object of respect].
prane,10.3,(perfect),x1 is perfect/ideal/archetypical/faultless/flawless/un-improvable in property/aspect x2 (ka).
mulno,10.3,(complete),x1 (event) is complete/done/finished; x1 (object) has become whole in property x2 by standard x3.
misno,10.3,(famous),x1 (person/object/event) is famous/renowned/is a celebrity among community of persons x2 (mass).
melbi,10.3,(beautiful),x1 is beautiful/pleasant to x2 in aspect x3 (ka) by aesthetic standard x4.
mabla,10.3,(derogative),x1 is execrable/deplorable/wretched/shitty/awful/rotten/miserable/contemptible/crappy/inferior/low-quality in property x2 by standard x3; x1 stinks/sucks in aspect x2 according to x3.
lazni,10.3,(lazy),x1 (person) is lazy/avoiding work/effort concerning action x2.
kusru,10.3,(cruel),x1 (person) is cruel/mean/unkind to victim x2.
jursa,10.3,(severe ‘harsh’),x1 (event/action/state) is severe/harsh to x2 [victim/experiencer].
vlile,10.3,(violent),x1 is an event/state/act of violence.
juxre,10.3,(clumsy ‘awkward’),x1 (action) is clumsy/awkward by standard x2.
funca,10.3,(luck ‘fortune’),x1 (event/property) is determined by the luck/fortune of x2; (note mabla/zabna not implied).
fenki,10.3,(crazy ‘frenzy’),x1 (action/event) is crazy/insane/mad/frantic/in a frenzy (one sense) by standard x2.
drani,10.3,(correct ‘right’),x1 is correct/proper/right/perfect in property/aspect x2 (ka) in situation x3 by standard x4.
fange,10.3,(alien ‘foreign’),x1 is alien/foreign/[exotic]/unfamiliar to x2 in property x3 (ka).
darsi,10.3,(audacity ‘dare’),x1 shows audacity/chutzpah in behavior x2 (event/activity); x1 dares to do/be x2 (event/ka).
curve,10.3,(pure),x1 is pure/unadulterated/unmitigated/simple in property x2 (ka).
cnino,10.3,(new),x1 is new/unfamiliar/novel to observer x2 in feature x3 (ka) by standard x4; x1 is a novelty.
slabu,10.3,(old),x1 is old/familiar/well-known to observer x2 in feature x3 (ka) by standard x4.
clite,10.3,(polite),x1 is polite/courteous/civil in matter x2 according to standard/custom x3.
ckape,10.3,(peril),x1 is perilous/dangerous/potentially harmful to x2 under conditions x3.
bandu,10.3,(defend),x1 (event) defends/protects x2 (object/state) from threat/peril/potential x3 (event).
marbi,10.3,(shelter ‘harbor’),x1 is a shelter/haven/refuge/retreat/harbor for/protecting x2 from danger/threat x3.
banli,10.3,(great ‘grand’),x1 is great/grand in property x2 (ka) by standard x3.
basna,10.3,(emphasize ‘accent’),x1 emphasizes/accentuates/gives emphasis/stress/accent to x2 by (action) x3.
racli,10.3,(sane ‘rational’),x1 (action/activity/behavior) is sane/rational by standard x2.
prije,10.3,(wise ‘sage’),x1 is wise/sage about matter x2 (abstraction) to observer x3.
bebna,10.3,(foolish ‘boob’),x1 is foolish/silly in event/action/property [folly] (ka) x2; x1 is a boob.
bilga,10.3,(obliged),x1 is bound/obliged to/has the duty to do/be x2 in/by standard/agreement x3; x1 must do x2.
zifre,10.3,(free),x1 is free/at liberty to do/be x2 (event/state) under conditions x3.
marde,10.3,(morals),x1 are the ethics/morals/moral standards/ethical standards of x2 (ind./mass) about situation x3.
palci,10.3,(evil),x1 is evil/depraved/wicked [morally bad] by standard x2.
vrude,10.3,(virtue),x1 is virtuous/saintly/[fine/moral/nice/holy/morally good] by standard x2.
certu,10.3,(expert),x1 is an expert/pro/has prowess in/is skilled at x2 (event/activity) by standard x3.
cfila,10.3,(flaw),x1 (property - ka) is a flaw/fault/defect in x2 causing x3.
jikca,11,(socialize ‘social’),x1 interacts/behaves socially with x2; x1 socializes with/is sociable towards x2.
sivni,11,(private),x1 is private/personal/privy/[secret/confidential/confined] to x2; x1 is not-public/hidden.
lanzu,11.1,(family ‘clan’),x1 (mass) is a family with members including x2 bonded/tied/joined according to standard x3.
speni,11.1,(married ‘spouse’),x1 is married to x2; x1 is a spouse of x2 under law/custom/tradition/system/convention x3.
ninmu,11.1,(woman ‘women’),x1 is a woman/women; x1 is a female humanoid person [not necessarily adult].
nanmu,11.1,(man),x1 is a man/men; x1 is a male humanoid person [not necessarily adult].
dzena,11.1,(elder),x1 is an elder/ancestor of x2 by bond/tie/degree x3; x1's generation precedes x2's parents.
rirni,11.1,(parent ‘rear’),x1 is a parent of/raises/rears x2; x1 mentors/acts parental toward child/protege x2.
mamta,11.1,(mother ‘mom’),x1 is a mother of x2; x1 bears/mothers/acts maternally toward x2; [not necessarily biological].
patfu,11.1,"(father ‘pop, padre’)",x1 is a father of x2; x1 begets/sires/acts paternal towards x2; [not necessarily biological].
nanla,11.1,(boy ‘lad’),x1 is a boy/lad [young male person] of age x2 immature by standard x3.
nixli,11.1,(girl),x1 is a girl [young female person] of age x2 immature by standard x3.
bersa,11.1,(son),x1 is a son of mother/father/parents x2 [not necessarily biological].
tixnu,11.1,(daughter),x1 is a daughter of mother/father/parents x2; [not necessarily biological].
bruna,11.1,(brother),x1 is brother of/fraternal to x2 by bond/tie/standard/parent(s) x3; [not necess. biological].
mensi,11.1,(sister),x1 is a sister of/sororal to x2 by bond/tie/standard/parent(s) x3; [not necessarily biological].
tunba,11.1,(sibling),x1 is a sibling of x2 by bond/tie/standard/parent(s) x3.
famti,11.1,(aunt or uncle),x1 is an aunt/uncle of x2 by bond/tie x3; x1 is an associated member of x2's parent's generation.
tamne,11.1,(cousin),"x1 is cousin to x2 by bond/tie x3; [non-immediate family member, default same generation]."
ritli,11.2,(rite),"x1 is a rite/ceremony/ritual for purpose/goal x2, by custom/in community x3, with form/rules x4."
salci,11.2,(celebrate),x1 celebrates/recognizes/honors x2 (event/abstract) with activity/[party] x3.
nobli,11.2,(noble),x1 is noble/aristocratic/elite/high-born/titled in/under culture/society/standard x2.
mikce,11.2,(doctor ‘medic’),x1 doctors/treats/nurses/[cures]/is physician/midwife to x2 for ailment x3 by treatment/cure x4.
zajba,11.2,(gymnast),x1 is a gymnast at/performs gymnastics feat x2.
vitke,11.2,(guest ‘visit’),x1 is a guest/visitor of x2 at place/event x3; x1 visits x2/x3.
xotli,11.2,(hotel),x1 is a hotel/inn/hostel at location x2 operated by x3.
turni,11.2.1,(govern),x1 governs/rules/is ruler/governor/sovereign/reigns over people/territory/domain/subjects x2.
kamni,11.2.1,(committee),x1 (mass) is a committee with task/purpose x2 of body x3.
catni,11.2.1,(authority),x1 has authority/is an official in/on/over matter/sphere/persons x2 derived on basis x3.
vipsi,11.2.1,(deputy ‘vice’),x1 is a deputy/vice/subordinate in aspect [or organization principle] x2 (ka) to principal x3.
jecta,11.2.1,(polity ‘state’),x1 is a polity/state governing territory/domain x2; [government/territory relationship].
jansu,11.2.1,(diplomat ‘consul’),x1 is a diplomat/consul representing polity x2 in/at negotiation x3 for function/purpose x4.
jaspu,11.2.1,(passport),x1 is a passport issued to x2 (person) by authority x3 allowing x4 (activity).
pikta,11.2.1,(ticket),x1 is a ticket entitling x2 to entitlement/privilege x3 (event/state) under conditions x4.
flalu,11.2.2,(law),x1 is a law specifying x2 (state/event) for community x3 under conditions x4 by lawgiver(s) x5.
pajni,11.2.2,(judge),x1 judges/referees/arbitrates/is a judge determining/deciding matter x2 (abstract).
zekri,11.2.2,(crime),x1 (event/state) is a punishable crime/[taboo/sin] to people/culture/judges/jury x2.
pulji,11.2.2,(police),x1 is a police officer/[enforcer/vigilante] enforcing law(s)/rule(s)/order x2.
pinfu,11.2.2,(prisoner ‘captive’),"x1 is a prisoner/captive of x2, restrained/held/confined by means/force x3."
gunta,11.2.3,(attack),x1 (person/mass) attacks/invades/commits aggression upon victim x2 with goal/objective x3.
jamna,11.2.3,(war),x1 (person/mass) wars against x2 over territory/matter x3; x1 is at war with x2.
bilni,11.2.3,(military),x1 is military/regimented/is strongly organized/prepared by system x2 for purpose x3.
jenmi,11.2.3,(army),x1 (mass) is an army serving group/community x2 (mass) in function x3 (activity).
sonci,11.2.3,(soldier),x1 is a soldier/warrior/fighter of army x2.
gubni,11.3.1,(public),x1 is public/un-hidden/open/jointly available to/owned by all among community x2 (mass).
ponse,11.3.1,(possess),x1 possesses/owns/has x2 under law/custom x3; x1 is owner/proprietor of x2 under x3.
cpacu,11.3.1,(get ‘acquire’),x1 gets/procures/acquires/obtains/accepts x2 from source x3 [previous possessor not implied].
cirko,11.3.1,(lose),x1 loses person/thing x2 at/near x3; x1 loses property/feature x2 in conditions/situation x3.
jbera,11.3.1,(borrow),x1 (agent) borrows/temporarily takes/assumes x2 (object) from source x3 for interval x4.
dunda,11.3.1,(give ‘donate’),x1 [donor] gives/donates gift/present x2 to recipient/beneficiary x3 [without payment/exchange].
lebna,11.3.1,(take),x1 takes/gets/gains/obtains/seizes/[removes] x2 (object/property) from x3 (possessor).
pindi,11.3.1,(poor ‘indigent’),x1 is poor/indigent/impoverished/lacking in goods/possessions/property x2.
ricfu,11.3.1,(rich),x1 is rich/wealthy in goods/possessions/property/aspect x2.
dejni,11.3.1,(owe ‘debt-or’),"x1 owes x2 in debt/obligation to creditor x3 in return for x4 [service, loan]; x1 is a debtor."
cerda,11.3.1,(heir),x1 is an heir to/is to inherit x2 (object/quality) from x3 according to rule x4.
jdini,11.3.2,(money ‘dinero’),x1 is money/currency issued by x2; (adjective:) x1 is financial/monetary/pecuniary/fiscal.
sicni,11.3.2,(coin ‘specie’),x1 is a coin/token/is specie issued by x2 having value x3 of composition including x4.
rupnu,11.3.2,(dollar ‘ruble’),"x1 is measured in major-money-units (dollar/yuan/ruble) as x2 (quantity), monetary system x3."
fepni,11.3.2,(cent ‘penny’),"x1 is measured in kopeck/cent money-subunits as x2 [quantity], in monetary system x3."
banxa,11.3.2,(bank),x1 is a bank owned by/in banking system x2 for banking function(s) x3 (event).
zivle,11.3.2,(invest),x1 (agent) invests resources x2 in investment x3 expecting return/profit x4 (object(s)/event).
canja,11.3.3,(exchange),"x1 exchanges/trades/barters commodity x2 for x3 with x4; x1, x4 is a trader/merchant/businessman."
vamji,11.3.3,(value),x1 (ni) is the equivalent value/worth of x2 [item(s) of value] to x3 for use/appreciation x4.
jdima,11.3.3,(price),x1 [amount] is the price of x2 to purchaser/consumer x3 set by vendor x4.
vecnu,11.3.3,(sell ‘vend’),x1 [seller] sells/vends x2 [goods/service/commodity] to buyer x3 for amount/cost/expense x4.
kargu,11.3.3,(costly),x1 (object/commodity/property/event) is costly/expensive/dear to x2 by standard x3.
janta,11.3.3,(account),"x1 is an account/bill/invoice for goods/services x2, billed to x3 by x4."
cnemu,11.3.3,(reward),x1 (agent) rewards x2 [recipient] for atypical x3 (event/property) with reward/desserts x4.
kagni,11.3.4,(company),x1 is a company/corporation/firm/partnership chartered by authority x2 for purpose x3.
cteki,11.3.4,(tax),x1 is a tax/levy/duty on goods/services/event x2 levied against x3 by authority/collector x4.
zarci,11.3.4,(market ‘mart’),"x1 is a market/store/exchange/shop(s) selling/trading (for) x2, operated by/with participants x3."
jibri,11.3.4,(job),x1 is a job/occupation/employment/vocation (a type of work regularly done for pay) of person x2.
jerna,11.3.4,(earn),x1 (agent/person) earns/[deserves/merits] wages/salary/pay x2 for work/service x3 (activity).
briju,11.3.4,(office ‘bureau’),x1 is an office/bureau/work-place of worker x2 at location x3.
binra,11.3.4,(insure),x1 insures/indemnifies x2 (person) against peril x3 (event) providing benefit(s) x4 (event).
gusta,11.3.4,(restaurant),x1 is a restaurant/cafe/diner serving type-of-food x2 to audience x3.
barja,11.3.4,(bar),x1 is a tavern/bar/pub serving x2 to audience/patrons x3.
kulnu,12.1,(culture),"x1 [mass of ideas, customs, skills, arts] is culture of nation/ethnos x2 (mass); x1 is ethnic."
natmi,12.1,(nation),x1 is a nation/ethnic group of peoples x2; [people sharing a history/culture].
tutra,12.2,(territory),x1 is territory/domain/space of/belonging to/controlled by x2.
gugde,12.2,(country),x1 is the country of peoples x2 with land/territory x3; (people/territory relationship).
jarbu,12.2,(suburb),x1 is a suburban area of city/metropolis x2.
tcadu,12.2,(city ‘town’),"x1 is a town/city of metropolitan area x2, in political unit x3, serving hinterland/region x4."
nurma,12.2,(rural),x1 is a rural/rustic/pastoral area of x2; x1 is in the country.
panka,12.2,(park),x1 is a park/land reserve managed by community/polity/company x2 for purpose x3.
bemro,12.2,(North American),
dzipo,12.2,(Antarctican),
friko,12.2,(African),
ketco,12.2,(South American ‘Quechua’),
xazdo,12.2,(Asiatic),
ropno,12.2,(European),
glico,12.3,(English),
softo,12.3,(Soviet),
xispo,12.3,(Hispanic),
xrabo,12.3,(Arabic),
baxso,12.3,(Malay-Indonesian ‘Bahasa’),
polno,12.3,(Polynesian),
semto,12.3,(Semitic),
spano,12.3,(Spanish),
srito,12.3,(Sanskrit),
latmo,12.3,(Latin),
lojbo,12.3,(Lojbanic),
brito,12.4,(British),
filso,12.4,(Palestinian ‘Philistine’),
gento,12.4,(Argentinian),
jerxo,12.4,(Algerian),
jordo,12.4,(Jordanian),
kadno,12.4,(Canadian),
libjo,12.4,(Libyan),
lubno,12.4,(Lebanese),
merko,12.4,(American),
mexno,12.4,(Mexican),
misro,12.4,(Egyptian ‘Mizraim’),
morko,12.4,(Moroccan),
rakso,12.4,(Iraqi),
sadjo,12.4,(Saudi),
sirxo,12.4,(Syrian),
sralo,12.4,(Australian),
bengo,12.4,(Bengali),
bindo,12.4,(Indonesian),
brazo,12.4,(Brazilian),
dotco,12.4,(German ‘Deutsch’),
fraso,12.4,(French ‘France’),
jungo,12.4,(Chinese),
kisto,12.4,(Pakistani),
meljo,12.4,(Malaysian),
ponjo,12.4,(Japanese ‘Nippon’),
porto,12.4,(Portuguese),
rusko,12.4,(Russian),
skoto,12.4,(Scottish),
slovo,12.4,(Slavic),
vukro,12.4,(Ukrainian),
xebro,12.4,(Hebrew),
xelso,12.4,(Greek ‘Hellas’),
xindo,12.4,(Hindi),
xurdo,12.4,(Urdi),
lijda,12.5,(religion),x1 is a religion of believers including x2 sharing common beliefs/practices/tenets including x3.
cevni,12.5,(god ‘divinity’),x1 is a/the god/deity of people(s)/religion x2 with dominion over x3 [sphere]; x1 is divine.
censa,12.5,(holy ‘sacred’),x1 is holy/sacred to person/people/culture/religion/cult/group x2.
makfa,12.5,(magic),"x1 is magic/supernatural/sorcery/witchcraft/wizardry to x2, performed by person/force/deity x3."
malsi,12.5,(temple),x1 is a temple/church/sanctuary/synagogue/shrine of religion x2 at location/serving area x3.
crida,12.5,(fairy),x1 is a fairy/elf/gnome/brownie/pixie/goblin/kobold [mythical humanoid] of mythos/religion x2.
ranmi,12.5,(myth),"x1 is a myth/legend, a culturally significant story about x2 in mythos x3 of culture x4."
budjo,12.5.1,(Buddhist),
dadjo,12.5.1,(Taoist),
jegvo,12.5.1,(Jehovist),
muslo,12.5.1,(Islamic),
xriso,12.5.1,(Christian),
larcu,12.6,(art),x1 (process) is an art [creative application] of craft/skill x2 (idea/activity).
muzga,12.6,(museum),x1 is a museum for preserving [and possibly exhibiting] x2 at location x3.
cfika,12.6,(fiction),x1 is a work of fiction about plot/theme/subject x2/under convention x2 by author x3.
pemci,12.6,(poem),x1 is a poem/verse about plot/theme/subject/pattern x2 by author x3 for intended audience x4.
prosa,12.6,(prose),x1 is prose about plot/theme/subject x2 by author x3 for intended audience x4.
pixra,12.6,(picture),"x1 is a picture/illustration representing/showing x2, made by artist x3 in medium x4."
draci,12.6,(drama),x1 is a drama/play about x2 [plot/theme/subject] by dramatist x3 for audience x4 with actors x5.
tigni,12.6,(perform),x1 performs x2 [performance] for/before audience x3.
skina,12.6,(cinema),"x1 is a cinema/movie/film about x2 [plot/theme/subject/activity], filmmaker x3, for audience x4."
zgike,12.6,(music),x1 is music performed/produced by x2 (event).
sanga,12.6,(sing),x1 sings/chants x2 [song/hymn/melody/melodic sounds] to audience x3.
dansu,12.6,(dance),"x1 (individual, mass) dances to accompaniment/music/rhythm x2."
damri,12.6,(drum),x1 is a drum/cymbal/gong [percussion musical instrument] with beater/actuator x2.
flani,12.6,(flute),x1 is a flute/pipe/fife/recorder [flute-like/air-reed musical instrument].
jgita,12.6,(guitar ‘guitar’),x1 is guitar/violin/fiddle/harp [stringed musical instrument] with actuator/plectrum/bow x2.
pipno,12.6,(piano),x1 is a piano/harpsichord/synthesizer/organ; a keyboard musical instrument.
tabra,12.6,(trumpet ‘brass’),x1 is a horn/trumpet/trombone/bugle [brass-wind/lip-reed musical instrument].
xagri,12.6,(reed),x1 is a oboe/clarinet/saxophone [reed musical instrument] with reed x2.
fenso,13.1,(sew),"x1 sews/stitches/sutures materials x2 (ind./set) together with tool(s) x3, using filament x4."
jivbu,13.1,(weave),x1 weaves x2 from material/[yarn] x3.
nivji,13.1,(knit),x1 (agent) knits x2 [cloth/object] from yarn/thread x3.
lasna,13.1,(fasten ‘lash’),x1 (agent) fastens/connects/attaches/binds/lashes x2 to x3 with fastener x4.
gundi,13.1,(industry),x1 is industry/industrial/systematic manufacturing activity producing x2 by process/means x3.
fanri,13.1,(factory ‘foundry’),x1 is a factory/foundry/industrial plant/mill producing x2 from materials x3.
cange,13.1,"(farm ‘grange, agrarian’)","x1 is a farm/ranch at x2, farmed by x3, raising/producing x4; (adjective:) x1 is agrarian."
purdi,13.1,(garden),x1 is a garden/tended/cultivated field of family/community/farmer x2 growing plants/crop x3.
crepu,13.1,(harvest ‘reap’),x1 (agent) harvests/reaps/gathers crop/product/objects x2 from source/area x3.
sombo,13.1,(sow),x1 sows/plants x2 [crop/plants] at/in x3.
spofu,13.1,(broken),x1 is broken/inoperable/broken down/non-utile/not usable for function x2.
cikre,13.1,(repair ‘fix’),x1 repairs/mends/fixes x2 for use x3.
gunka,13.1,(work),x1 [person] labors/works on/at x2 [activity] with goal/objective x3.
cupra,13.1,(produce),x1 produces x2 [product] by process x3.
finti,13.1,(invent),x1 invents/creates/composes/authors x2 for function/purpose x3 from existing elements/ideas x4.
zbasu,13.1,(make),x1 makes/assembles/builds/manufactures/creates x2 out of materials/parts/components x3.
fukpi,13.1,(copy),x1 is a copy/replica/duplicate/clone of x2 in form/medium x3 made by method x4 (event).
jadni,13.1,(adorn),x1 (object) adorns/decorates x2; x1 is an adornment/decoration of x2; x2 is fancy/decorated.
jukpa,13.1,(cook),x1 cooks/prepares food-for-eating x2 by recipe/method x3 (process).
macnu,13.1,(manual),x1 (event/action/process) is manual [not automatic] in function x2 under conditions x3.
zmiku,13.1,(automatic),x1 is automatic in function x2 under conditions x3.
lumci,13.1,(wash),x1 (agent) washes/cleanses x2 of soil/contaminant x3 in/with cleaning material(s) x4.
molki,13.1,(mill),x1 is a mill/foundry/industrial plant/[assembly line] performing process x2.
pilno,13.1,(use ‘employ’),"x1 uses/employs x2 [tool, apparatus, machine, agent, acting entity, material] for purpose x3."
sazri,13.1,(operate),x1 operates/drives/runs x2 [apparatus/machine] with goal/objective/use/end/function x3.
sorcu,13.1,(store),x1 is a store/deposit/supply/reserve of materials/energy x2 in containment x3.
zbabu,13.2,(soap),x1 is a quantity of/contains/is made of soap from source x2 of composition including x3.
jalna,13.2,(starch),x1 is a quantity of/contains/is made of starch from source x2 of composition including x3.
blaci,13.2.1,(glass),x1 is a quantity of/is made of/contains glass of composition including x2.
staku,13.2.1,(ceramic),"x1 is a quantity of/contains/is made of ceramic made by x2, of composition x3, in form/shape x4."
gasta,13.2.1,(steel),x1 is a quantity of/is made of/contains steel of composition including x2.
